2011/08/19 10:32:11.293025,3551.463379,udp,98.27.131.242,11256,  <->,147.32.84.229,13363,CON,0,0,7,469,247,flow=Background-UDP-Established
2011/08/19 10:32:11.294683,0.000000,udp,219.84.184.25,48225,   ->,147.32.84.229,13363,INT,0,,1,60,60,flow=Background-UDP-Attempt
2011/08/19 10:32:11.317740,0.045521,tcp,83.145.197.2,80,  <?>,147.32.84.164,52376,FPA_FA,0,0,6,758,626,flow=To-Background-Grill
2011/08/19 10:32:11.344718,19.994110,tcp,147.32.84.164,48782,   ->,67.212.77.13,80,FPA_FSPA,0,0,10,1709,780,flow=From-Normal-V53-Grill
2011/08/19 10:32:11.355520,6.006655,tcp,147.32.84.59,60177,   ->,65.55.50.73,443,S_,0,,2,128,128,flow=Background-Attempt-cmpgw-CVUT
2011/08/19 10:32:11.452126,0.000334,udp,147.32.86.58,59291,  <->,147.32.80.9,53,CON,0,0,2,226,78,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/19 10:32:11.590977,0.000000,udp,147.32.80.9,53,   ->,147.32.84.59,51036,INT,0,,1,165,165,flow=From-Normal-V53-UDP-CVUT-DNS-Server
2011/08/19 10:32:11.949528,3594.541748,tcp,74.125.232.206,443,  <?>,147.32.85.7,57422,PA_PA,0,0,3630,1365298,651721,flow=Background-google-analytics15
2011/08/19 10:32:12.545842,0.042296,tcp,147.32.84.59,1458,  <?>,147.32.80.13,80,FPA_FPA,0,0,19,17519,1125,flow=To-Background-CVUT-Proxy
2011/08/19 10:32:12.570332,3599.834229,udp,147.32.80.13,514,   ->,147.32.84.138,2990,INT,0,,19381,16942005,16942005,flow=From-Background-CVUT-Proxy
2011/08/19 10:32:12.592450,3389.175049,udp,147.32.86.176,123,  <->,174.143.207.151,123,CON,0,0,60,5400,2700,flow=Background-UDP-NTP-Established-1
2011/08/19 10:32:15.493251,268.576355,tcp,147.32.84.134,35715,  <?>,74.125.39.125,5222,RPA_PA,0,0,61,17233,4230,flow=From-Normal-V53-Jist
2011/08/19 10:32:15.510924,272.050720,tcp,209.85.148.17,443,  <?>,147.32.84.134,40701,PA_RPA,0,0,77,13242,7642,flow=To-Background-Jist
2011/08/19 10:32:17.245284,3598.729736,tcp,74.125.232.199,443,  <?>,147.32.84.21,51526,PA_PA,0,0,805,247001,50208,flow=Background-google-analytics8
2011/08/19 10:32:17.475424,3492.269531,tcp,74.125.232.213,443,  <?>,147.32.85.5,52316,FPA_FPA,0,0,1102,331899,211447,flow=Background-google-webmail
2011/08/19 10:32:17.759782,0.000340,udp,147.32.84.170,38547,  <->,147.32.80.9,53,CON,0,0,2,244,81,flow=From-Normal-V53-Stribrek
2011/08/19 10:32:18.134836,7.985182,tcp,63.245.209.93,80,  <?>,147.32.84.170,33155,FA_FA,0,0,4,240,120,flow=To-Background-Stribrek
2011/08/19 10:32:21.002157,3.007154,tcp,147.32.84.21,51162,   ->,74.125.39.108,,S_,0,,2,148,148,flow=Background-google-pop
2011/08/19 10:32:24.023611,2.587111,tcp,66.249.66.211,54467,   ->,147.32.87.36,80,FSPA_FSPA,0,0,18,8712,981,flow=To-Background-CVUT-WebServer
